Timestamp,age,fnlwgt,education.num,capital.gain,capital.loss,hours.per.week,class
1,39,77516,13,2174,0,40,<=50K
2,50,83311,13,0,0,13,<=50K
3,38,215646,9,0,0,40,<=50K
4,53,234721,7,0,0,40,<=50K
5,28,338409,13,0,0,40,<=50K
6,37,284582,14,0,0,40,<=50K
7,49,160187,5,0,0,16,<=50K
8,52,209642,9,0,0,45,>50K
9,31,45781,14,14084,0,50,>50K
10,42,159449,13,5178,0,40,>50K
11,37,280464,10,0,0,80,>50K
12,30,141297,13,0,0,40,>50K
13,23,122272,13,0,0,30,<=50K
14,32,205019,12,0,0,50,<=50K
15,34,245487,4,0,0,45,<=50K
16,25,176756,9,0,0,35,<=50K
17,32,186824,9,0,0,40,<=50K
18,38,28887,7,0,0,50,<=50K
19,43,292175,14,0,0,45,>50K
20,40,193524,16,0,0,60,>50K
21,54,302146,9,0,0,20,<=50K
22,35,76845,5,0,0,40,<=50K
23,43,117037,7,0,2042,40,<=50K
24,59,109015,9,0,0,40,<=50K
25,56,216851,13,0,0,40,>50K
26,19,168294,9,0,0,40,<=50K
27,39,367260,9,0,0,80,<=50K
28,49,193366,9,0,0,40,<=50K
29,23,190709,12,0,0,52,<=50K
30,20,266015,10,0,0,44,<=50K
31,45,386940,13,0,1408,40,<=50K
32,30,59951,10,0,0,40,<=50K
33,22,311512,10,0,0,15,<=50K
34,48,242406,7,0,0,40,<=50K
35,21,197200,10,0,0,40,<=50K
36,19,544091,9,0,0,25,<=50K
37,48,265477,12,0,0,40,<=50K
38,31,507875,5,0,0,43,<=50K
39,53,88506,13,0,0,40,<=50K
40,24,172987,13,0,0,50,<=50K
41,49,94638,9,0,0,40,<=50K
42,25,289980,9,0,0,35,<=50K
43,57,337895,13,0,0,40,>50K
44,53,144361,9,0,0,38,<=50K
45,44,128354,14,0,0,40,<=50K
46,41,101603,11,0,0,40,<=50K
47,29,271466,11,0,0,43,<=50K
48,25,32275,10,0,0,40,<=50K
49,47,51835,15,0,1902,60,>50K
50,50,251585,13,0,0,55,>50K
51,47,109832,9,0,0,60,<=50K
52,43,237993,10,0,0,40,>50K
53,46,216666,3,0,0,40,<=50K
54,35,56352,11,0,0,40,<=50K
55,41,147372,9,0,0,48,<=50K
56,30,188146,9,5013,0,40,<=50K
57,30,59496,13,2407,0,40,<=50K
58,48,149640,9,0,0,40,<=50K
59,42,116632,16,0,0,45,>50K
60,29,105598,10,0,0,58,<=50K
61,36,155537,9,0,0,40,<=50K
62,28,183175,10,0,0,40,<=50K
63,53,169846,9,0,0,40,>50K
64,49,191681,10,0,0,50,>50K
65,19,101509,10,0,0,32,<=50K
66,31,309974,13,0,0,40,<=50K
67,29,162298,13,0,0,70,>50K
68,23,211678,10,0,0,40,<=50K
69,79,124744,10,0,0,20,<=50K
70,27,213921,9,0,0,40,<=50K
71,40,32214,12,0,0,40,<=50K
72,18,309634,7,0,0,22,<=50K
73,31,125927,4,0,0,40,<=50K
74,18,446839,9,0,0,30,<=50K
75,52,276515,13,0,0,40,<=50K
76,46,51618,9,0,0,40,<=50K
77,59,159937,9,0,0,48,<=50K
78,44,343591,9,14344,0,40,>50K
79,53,346253,9,0,0,35,<=50K
80,49,268234,9,0,0,40,>50K
81,33,202051,14,0,0,50,<=50K
82,30,54334,5,0,0,40,<=50K
83,43,410867,16,0,0,50,>50K
84,57,249977,11,0,0,40,<=50K
85,37,286730,10,0,0,40,<=50K
86,28,212563,10,0,0,25,<=50K
87,34,226296,13,0,0,40,>50K
88,29,115585,10,0,0,50,<=50K
89,48,191277,16,0,1902,60,>50K
90,37,202683,10,0,0,48,>50K
91,48,171095,12,0,0,40,<=50K
92,32,249409,9,0,0,40,<=50K
93,76,124191,14,0,0,40,>50K
94,44,198282,13,15024,0,60,>50K
95,47,149116,14,0,0,50,<=50K
96,20,188300,10,0,0,40,<=50K
97,29,103432,9,0,0,40,<=50K
98,32,317660,9,7688,0,40,>50K
99,30,194901,7,0,0,40,<=50K
100,31,189265,9,0,0,40,<=50K
101,42,124692,9,0,0,40,<=50K
102,24,432376,13,0,0,40,<=50K
103,38,65324,15,0,0,40,>50K
104,56,335605,9,0,1887,50,>50K
105,28,377869,10,4064,0,25,<=50K
106,36,102864,9,0,0,40,<=50K
107,53,95647,5,0,0,50,<=50K
108,56,303090,10,0,0,50,<=50K
109,49,197371,11,0,0,40,>50K
110,55,247552,10,0,0,56,<=50K
111,22,102632,9,0,0,41,<=50K
112,21,199915,10,0,0,40,<=50K
113,40,118853,13,0,0,60,<=50K
114,30,77143,13,0,0,40,<=50K
115,29,267989,13,0,0,50,>50K
116,19,301606,10,0,0,35,<=50K
117,47,287828,13,0,0,40,>50K
118,20,111697,10,0,1719,28,<=50K
119,31,114937,12,0,0,40,>50K
120,39,365739,10,0,0,40,<=50K
121,28,69621,12,0,0,60,<=50K
122,24,43323,9,0,1762,40,<=50K
123,38,120985,9,4386,0,35,<=50K
124,37,254202,13,0,0,50,<=50K
125,46,146195,12,0,0,36,<=50K
126,38,125933,14,0,0,40,>50K
127,43,56920,9,0,0,60,<=50K
128,27,163127,11,0,0,35,<=50K
129,20,34310,10,0,0,20,<=50K
130,49,81973,10,0,0,40,>50K
131,61,66614,9,0,0,40,<=50K
132,27,232782,10,0,0,40,<=50K
133,19,316868,10,0,0,30,<=50K
134,45,196584,11,0,1564,40,>50K
135,70,105376,10,0,0,40,<=50K
136,31,185814,9,0,0,30,<=50K
137,22,175374,10,0,0,24,<=50K
138,36,108293,9,0,0,24,<=50K
139,64,181232,7,0,2179,40,<=50K
140,47,186009,10,0,0,38,<=50K
141,34,198183,9,0,0,40,<=50K
142,33,163003,13,0,0,40,<=50K
143,21,296158,9,0,0,35,<=50K
144,48,187715,9,0,0,46,<=50K
145,23,214542,13,0,0,40,<=50K
146,71,494223,10,0,1816,2,<=50K
147,29,191535,9,0,0,60,<=50K
148,42,228456,13,0,0,50,<=50K
149,25,252752,9,0,0,40,<=50K
150,44,78374,14,0,0,40,<=50K
151,28,88419,9,0,0,40,<=50K
152,45,201080,14,0,0,40,>50K
153,36,207157,10,0,0,40,<=50K
154,39,235485,12,0,0,42,<=50K
155,46,102628,14,0,0,40,<=50K
156,18,25828,7,0,0,16,<=50K
157,66,54826,11,0,0,20,<=50K
158,27,124953,9,0,1980,40,<=50K
159,28,175325,9,0,0,40,<=50K
160,51,96062,10,0,1977,40,>50K
161,27,428030,13,0,0,50,<=50K
162,28,149624,13,0,0,40,>50K
163,27,253814,9,0,0,25,<=50K
164,21,312956,9,0,0,40,<=50K
165,34,483777,9,0,0,40,<=50K
166,18,183930,9,0,0,12,<=50K
167,33,37274,13,0,0,65,<=50K
168,44,181344,10,0,0,38,>50K
169,43,114580,10,0,0,40,<=50K
170,30,633742,10,0,0,45,<=50K
171,40,286370,4,0,0,40,>50K
172,37,29054,10,0,0,42,>50K
173,34,304030,9,0,0,40,<=50K
174,41,143129,13,0,0,40,<=50K
175,31,99928,14,0,0,50,<=50K
176,58,109567,16,0,0,1,>50K
177,38,155222,10,0,0,28,<=50K
178,24,159567,10,0,0,40,<=50K
179,41,523910,13,0,0,40,<=50K
180,47,120939,10,0,0,45,<=50K
181,41,130760,13,0,0,24,<=50K
182,23,197387,3,0,0,40,<=50K
183,36,99374,10,0,0,40,<=50K
184,40,56795,14,14084,0,55,>50K
185,35,138992,14,7298,0,40,>50K
186,24,32921,9,0,0,40,<=50K
187,26,397317,14,0,1876,40,<=50K
188,51,259323,13,0,0,50,>50K
189,42,254817,10,0,1340,40,<=50K
190,37,48211,9,0,0,35,<=50K
191,18,140164,7,0,0,40,<=50K
192,36,128757,13,7298,0,36,>50K
193,35,36270,9,0,0,60,<=50K
194,58,210563,9,15024,0,35,>50K
195,17,65368,7,0,0,12,<=50K
196,44,160943,9,0,0,40,<=50K
197,37,208358,9,0,0,40,>50K
198,35,153790,10,0,0,40,<=50K
199,60,85815,9,0,0,40,<=50K
200,54,125417,4,0,0,40,>50K
201,37,635913,13,0,0,60,>50K
202,50,313321,12,0,0,40,<=50K
203,38,182609,13,0,0,50,<=50K
204,45,109434,13,0,0,55,<=50K
205,25,255004,6,0,0,40,<=50K
206,31,197860,10,0,0,40,<=50K
207,90,51744,9,0,2206,40,<=50K
208,54,176681,9,0,0,20,<=50K
209,53,140359,1,0,0,35,<=50K
210,18,243313,9,0,0,40,<=50K
211,66,167687,9,1409,0,50,<=50K
212,75,314209,11,0,0,20,<=50K
213,65,176796,9,0,0,40,<=50K
214,35,538583,7,3674,0,40,<=50K
215,41,130408,9,0,0,38,<=50K
216,25,159732,10,0,0,42,<=50K
217,33,110978,10,0,0,40,<=50K
218,28,76714,15,0,0,55,>50K
219,59,268700,9,0,0,40,<=50K
220,40,170525,10,0,0,38,<=50K
221,41,180138,13,0,0,50,>50K
222,38,115076,14,0,0,70,>50K
223,23,115458,9,0,0,40,<=50K
224,40,347890,13,0,0,40,>50K
225,41,196001,9,0,0,20,<=50K
226,24,273905,12,0,0,50,<=50K
227,38,179488,10,0,1741,40,<=50K
228,58,236596,9,0,0,45,>50K
229,32,183916,9,0,0,34,<=50K
230,40,207578,12,0,1977,60,>50K
231,41,112763,15,0,0,40,>50K
232,42,390781,13,0,0,40,<=50K
233,59,171328,6,0,0,30,<=50K
234,19,27382,10,0,0,40,<=50K
235,58,259014,10,0,0,20,<=50K
236,42,303044,9,0,0,40,>50K
237,20,117789,9,0,0,40,<=50K
238,32,172579,9,0,0,30,<=50K
239,45,187666,11,0,0,45,<=50K
240,50,204518,4,0,0,40,<=50K
241,36,150042,13,0,0,40,<=50K
242,45,98092,9,0,0,60,<=50K
243,17,245918,7,0,0,12,<=50K
244,59,146013,10,4064,0,40,<=50K
245,26,378322,7,0,0,40,<=50K
246,37,257295,10,0,0,75,>50K
247,64,21174,9,0,0,40,>50K
248,33,185480,13,0,0,45,<=50K
249,33,222205,9,0,0,40,>50K
250,61,69867,9,0,0,40,>50K
251,17,191260,5,1055,0,24,<=50K
252,50,30653,14,2407,0,98,<=50K
253,27,209109,14,0,0,35,<=50K
254,30,70377,9,0,0,40,<=50K
255,43,477983,9,0,0,40,<=50K
256,44,170924,10,7298,0,40,>50K
257,35,190174,10,0,0,40,<=50K
258,25,193787,10,0,0,40,<=50K
259,24,279472,10,7298,0,48,>50K
260,22,34918,13,0,0,15,<=50K
261,42,97688,10,5178,0,40,>50K
262,34,175413,12,0,0,45,<=50K
263,60,173960,13,0,0,42,<=50K
264,21,205759,9,0,0,40,<=50K
265,57,425161,14,15024,0,40,>50K
266,41,220531,15,0,0,60,>50K
267,50,176609,10,0,0,45,<=50K
268,25,371987,13,0,0,40,<=50K
269,50,193884,4,0,0,40,<=50K
270,36,200352,13,0,0,45,<=50K
271,31,127595,9,0,0,40,<=50K
272,29,220419,13,0,0,56,<=50K
