Timestamp,Attr1,Attr2,Attr3,Class
1,6.677259,5.152133,2.982455,0
2,9.874437,8.817701,4.786266,1
3,7.118725,2.990575,1.964403,0
4,6.128244,8.449696,2.604408,1
5,7.592623,0.859845,5.76316,0
6,1.255071,5.92406,8.62692,1
7,7.816036,1.068024,8.051717,1
8,7.118628,3.250062,4.883653,1
9,8.402195,7.866108,4.071172,1
10,6.683809,8.857439,8.07722,1
11,1.848014,0.041624,2.913719,0
12,8.491319,5.518126,0.68381,0
13,6.377971,6.44697,9.841609,1
14,2.371031,8.468529,7.585784,0
15,9.536552,5.637501,7.528578,1
16,8.887563,2.41223,0.451066,0
17,0.278338,4.522238,5.56639,1
18,3.379677,3.64361,0.764681,0
19,3.685234,3.678401,3.203949,0
20,9.196527,3.887759,8.260495,1
21,0.334729,8.102104,3.20754,1
22,6.570632,0.793324,2.892827,0
23,6.430825,0.421404,2.762365,0
24,2.833635,3.213431,2.608146,0
25,7.735669,8.174537,0.07412,1
26,1.818147,0.838802,6.343037,0
27,4.517202,9.546987,7.679934,1
28,3.434745,5.940428,9.288227,1
29,4.042532,2.495767,6.475234,0
30,3.289091,9.36806,6.720349,1
31,9.789465,9.482714,5.038305,1
32,2.696145,7.646451,5.735073,0
33,5.820988,5.809193,1.54716,0
34,6.647995,7.890197,3.142515,1
35,7.437183,0.822449,4.878926,1
36,6.762877,4.167153,4.641403,0
37,6.66292,1.116637,1.418573,0
38,0.484697,8.138923,9.671927,0
39,7.621636,4.710233,2.897262,1
40,2.356684,8.632335,0.749594,1
41,4.441528,2.296754,5.816807,1
42,0.186952,8.959323,2.254719,1
43,9.781772,7.133646,8.496064,1
44,1.300799,3.137467,7.350058,1
45,4.254104,8.768632,7.91573,1
46,6.907554,7.587657,5.012964,1
47,2.29789,7.910226,4.846971,1
48,6.542561,5.596565,2.832246,0
49,7.893319,8.649054,2.073611,1
50,7.608376,4.32833,5.704406,1
51,1.461976,4.200469,3.934796,1
52,7.337936,1.284855,0.726492,0
53,0.053486,8.642221,6.330842,1
54,6.229878,1.343806,1.490231,0
55,9.254032,6.337201,3.182342,1
56,1.933766,6.014588,6.780681,1
57,4.663641,8.854291,7.907356,1
58,3.182621,3.611762,9.662165,1
59,7.812232,3.596961,7.407371,1
60,4.881815,8.133863,6.742208,1
61,6.776085,3.07305,1.896342,0
62,4.416856,3.386573,1.533732,0
63,9.723774,4.716074,9.467481,1
64,0.730662,6.248161,1.484626,0
65,5.102452,9.391982,7.666321,1
66,3.003744,7.328486,2.92967,0
67,0.925448,0.337041,5.966143,0
68,8.470904,2.708351,0.742565,0
69,5.781402,2.638907,8.252954,0
70,6.02548,9.786685,3.869146,1
71,4.502759,3.336627,7.406795,1
72,9.584788,8.89142,0.627726,1
73,8.283402,8.294047,2.972313,1
74,5.622533,5.901984,2.103121,1
75,6.239025,8.069263,2.355244,1
76,0.777615,3.097809,9.956919,1
77,5.736716,8.209872,6.757275,1
78,7.996557,0.626422,7.511451,1
79,3.963049,4.918245,7.732738,1
80,3.809665,8.360463,8.235077,1
81,6.65451,1.20739,3.380213,0
82,7.109374,5.483334,8.825025,1
83,3.552598,1.180269,8.058328,1
84,4.278078,8.015246,0.88923,0
85,6.225119,7.646505,1.776991,1
86,8.272926,9.288442,6.720993,1
87,4.206686,4.453731,5.783812,1
88,2.814194,4.018888,0.109419,0
89,5.226278,3.489632,1.745749,0
90,8.972966,0.570773,5.684051,0
91,1.751042,3.742378,6.855777,1
92,1.757625,7.745007,6.043914,1
93,5.391512,7.820905,2.20442,1
94,7.109346,8.925412,5.900414,1
95,3.379143,1.684226,9.332384,1
96,5.703115,9.441804,5.662042,0
97,2.931436,7.40779,3.265045,1
98,7.978563,8.949096,4.429966,1
99,2.691474,1.285744,5.758726,0
100,9.03075,1.80264,2.431842,0
101,9.623545,4.636262,8.086701,1
102,3.561674,3.987115,8.048923,1
103,5.671341,7.381308,3.134153,1
104,6.823111,8.796195,2.303849,1
105,6.203985,5.568893,1.65895,0
106,4.517989,6.088916,3.912154,1
107,7.37466,9.67088,1.658561,1
108,1.47352,4.090404,0.827673,0
109,8.726665,8.914373,7.829956,1
110,2.901489,5.878879,9.229156,1
111,3.260187,2.363309,9.947286,0
112,1.159504,2.251134,9.837845,1
113,7.820027,1.496795,1.546037,0
114,7.585711,5.458191,9.547479,1
115,5.129071,1.20604,1.365781,0
116,5.296443,2.193454,7.699656,1
117,1.107828,5.529612,6.311448,1
118,1.408491,5.540604,2.582146,1
119,7.903913,2.529432,4.751976,0
120,4.780566,4.589821,6.426906,1
121,6.086615,7.972943,4.938609,1
122,3.431134,4.486088,8.632697,1
123,5.692128,9.998478,5.162796,0
124,2.191932,2.862453,5.01168,0
125,8.392064,1.323128,7.309076,1
126,6.863732,9.891223,4.469233,1
127,2.420655,9.221209,3.831062,1
128,3.811029,0.257968,9.801814,1
129,8.23091,4.740423,3.569971,1
130,9.226511,2.202668,0.222249,0
131,2.201146,5.385046,5.90721,1
132,8.247499,0.918891,7.692838,1
133,2.242019,5.001915,6.440118,1
134,4.893138,0.909351,3.873396,0
135,0.13056,7.704458,4.515014,1
136,7.962426,4.316828,3.839234,1
137,9.057251,7.409204,7.85538,1
138,9.611873,8.077629,3.2024,1
139,3.462675,9.109611,6.206097,1
140,0.028501,3.898935,8.349735,1
141,8.90085,4.789853,1.376271,0
142,5.699204,5.249668,1.107781,0
143,2.954126,5.622795,9.771353,0
144,9.939622,3.610586,7.109888,1
145,1.019791,4.965268,7.280634,0
146,3.042897,0.483034,2.444682,0
147,9.592645,8.650779,8.215745,1
148,2.549714,6.565481,1.891665,1
149,1.355334,3.267936,5.244552,1
150,8.517604,6.352333,2.884302,1
151,1.975127,2.655655,2.388281,0
152,6.266241,9.498169,0.911622,1
153,4.463437,8.192257,7.917695,1
154,8.675291,0.362376,4.011906,0
155,9.013155,2.227651,7.889081,1
156,8.793132,9.780746,3.013432,0
157,3.048683,8.257984,7.203003,1
158,4.610317,0.087305,3.038017,0
159,2.74296,5.426298,8.500195,1
160,4.924467,9.411817,6.295233,1
161,7.604074,4.212927,6.894238,1
162,4.575304,0.906144,4.5473,0
163,3.133795,2.436381,5.151327,0
164,2.217128,8.16476,2.075391,1
165,6.422743,9.278395,6.832098,1
166,9.3657,9.870114,7.618505,1
167,5.296412,6.118699,1.117861,1
168,5.530516,7.413093,9.608783,1
169,1.626021,6.50302,9.413954,1
170,7.409164,3.961253,9.789783,0
171,6.397635,4.94111,2.469885,0
172,3.105869,4.545276,3.880573,1
173,3.823671,0.71267,0.561673,0
174,0.582784,8.180178,5.29803,1
175,4.298877,6.415891,6.100075,1
176,3.828984,5.708858,2.963982,1
177,2.211878,2.377935,1.656329,0
178,6.339189,1.446112,0.164001,0
179,6.387221,2.633886,1.351585,0
180,7.179162,5.232157,9.021703,1
181,5.944828,9.583376,4.192203,1
182,7.763554,9.490232,2.406808,1
183,5.906123,8.506884,1.891823,1
184,4.215741,4.855805,5.190112,1
185,7.233741,6.846441,6.048662,1
186,8.292552,6.212663,6.309752,1
187,8.846549,7.661337,4.172864,1
188,2.893494,3.194567,7.028543,1
189,2.777943,1.220745,5.365933,1
190,0.710978,7.772742,2.603927,1
191,6.279625,4.49575,6.352208,0
192,9.351556,1.54232,6.922985,1
193,8.388761,2.971647,0.158226,0
194,9.18431,6.467978,1.361087,0
195,4.129314,5.533951,4.056569,1
196,8.728518,1.085111,5.861131,0
197,2.305856,1.227064,2.047957,0
198,8.999805,4.651885,9.633935,1
199,9.147635,5.986144,5.774796,1
200,7.528463,2.697782,5.084487,0
201,5.669428,5.242712,2.598537,0
202,1.71069,3.959623,2.884597,0
203,9.493574,6.941165,2.862813,1
204,8.026277,8.723944,9.728553,0
205,9.951008,1.776511,3.348967,0
206,6.428395,2.982902,4.230244,0
207,8.969046,0.00504,4.075221,0
208,2.702822,9.159708,2.414733,1
209,4.402421,5.013269,3.225989,1
210,8.972893,6.110586,1.953116,1
211,3.051751,4.815929,6.688559,1
212,3.539873,6.417112,1.410161,0
213,8.193623,4.759128,2.441695,0
214,7.74203,6.671939,0.198048,0
215,6.67698,4.273269,3.208585,0
216,3.432976,5.623317,7.752052,1
217,0.636587,0.97804,3.948508,0
218,7.088626,5.901623,8.075947,0
219,0.717552,4.764506,1.218405,0
220,1.181619,2.628565,7.748307,1
221,7.387693,0.190002,3.99726,0
222,6.861941,4.195307,1.840798,0
223,8.468576,5.049383,2.918722,0
224,0.6727,0.670774,9.736949,1
