learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1508.0,0.203125,5.738305238385995E-10,1508.0,0.5312,0.13061610460353723,0.78,0.20000000000000048,0.4665461121157324,0.3333333333333333,0.3973243846867024,0.16,0.1360416666666666,1508.0,10920.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3016.0,0.265625,9.088479499850007E-10,3016.0,0.8005514705882353,0.3393563240668285,0.77,0.41860465116279066,0.80411407199626,0.47058823529411764,0.653750492070448,0.46875,0.11180537772087087,3016.0,20720.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
4524.0,0.296875,1.144006900075409E-9,4524.0,0.566008316008316,0.1604649968585241,0.78,0.21203438395415514,0.6075764934434191,0.35135135135135137,0.3922322702763681,0.15384615384615385,0.12541300527240765,4524.0,29088.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
6032.0,0.34375,1.5659154289298587E-9,6032.0,0.7453222453222453,0.3025033849428557,0.82,0.3967828418230559,0.7178666666666667,0.35135135135135137,0.5547001962252291,0.3076923076923077,0.2799999999999998,6032.0,34792.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
7540.0,0.390625,2.066889363858435E-9,7540.0,0.7752192982456141,0.2798907227004932,0.83,0.3849493487698983,0.7531185031185031,0.3157894736842105,0.5400617248673217,0.2916666666666667,0.3127077747989273,7540.0,41312.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
9048.0,0.421875,2.45979107502434E-9,9048.0,0.6710897797854319,0.27606482955549116,0.8,0.3089149965445751,0.7495479204339964,0.2987012987012987,0.53715691320797,0.30434782608695654,0.18339350180505432,9048.0,48600.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
10556.0,0.4375,2.6630328243805304E-9,10556.0,0.7262872628726287,0.27849348095795806,0.86,0.3944636678200693,0.6907082521117609,0.21951219512195122,0.570265948512201,0.3333333333333333,0.43050481695568393,10556.0,50280.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
12064.0,0.484375,3.328540414157841E-9,12064.0,0.6958041958041958,0.2316272429398742,0.79,0.1898148148148149,0.7133434804667681,0.28205128205128205,0.41812100500354543,0.18181818181818182,0.1481371889710828,12064.0,54880.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
13572.0,0.546875,4.354288749810722E-9,13572.0,0.7738095238095238,0.32423595594418464,0.81,0.40550688360450576,0.8243929983060417,0.3888888888888889,0.5669467095138409,0.32142857142857145,0.22747753145596183,13572.0,63440.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
15080.0,0.546875,4.354288749810722E-9,15080.0,0.7234927234927235,0.2484430334661266,0.77,0.21662125340599453,0.7747035573122529,0.35135135135135137,0.43256235054635434,0.19230769230769232,0.06938556479742435,15080.0,68280.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
