learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1508.0,0.703125,1.100561348721385E-7,1508.0,0.8730666666666667,0.3072884687793267,0.81,0.3666666666666667,0.8474984930681133,0.3333333333333333,0.5580919876388359,0.32,0.2538541666666667,1508.0,605040.0,10.0,0.0,9048.300000000001,15.535657909038449,50652.0,3684.0465191899452,19.6,1.6343534229508352,10.3,0.8171767114754176,10.3,0.8171767114754176,6.6,0.45215533220835125,0.0,0.0,0.0,0.0,1.0,0.0
3016.0,1.359375,2.6617470818261304E-7,3016.0,0.8175551470588235,0.28591144449866857,0.74,0.2980561555075595,0.8298270219728845,0.47058823529411764,0.5423261445466404,0.3125,-0.004046094750319993,3016.0,919576.0,10.0,0.0,18066.2,42.289426049020385,81230.40000000001,4142.623847005395,30.0,1.7448336437736534,15.5,0.8724168218868267,15.5,0.8724168218868267,8.2,0.4422166387140533,0.0,0.0,0.0,0.0,1.0,0.0
4524.0,1.9375,4.5597284851181837E-7,4524.0,0.8087318087318087,0.2590989250841613,0.83,0.4565217391304348,0.7940747935891209,0.35135135135135137,0.6159690571919011,0.38461538461538464,0.32418277680140567,4524.0,1269032.0,10.0,0.0,27097.3,42.43532333642183,115284.79999999999,2214.6830262289604,43.2,1.0519822558706333,22.1,0.5259911279353167,22.1,0.5259911279353167,9.799999999999999,0.38873012632302006,0.0,0.0,0.0,0.0,1.0,0.0
6032.0,2.390625,6.393201894954675E-7,6032.0,0.8622661122661123,0.3950407853382554,0.84,0.5505617977528089,0.8085333333333333,0.35135135135135137,0.7334451499204204,0.5769230769230769,0.3599999999999999,6032.0,1564080.0,10.0,0.0,36126.700000000004,41.69973354564498,143894.40000000002,4218.2699855641185,54.60000000000001,2.061283311165374,27.800000000000004,1.030641655582687,27.800000000000004,1.030641655582687,10.3,0.49553562491061687,0.0,0.0,0.0,0.0,1.0,0.0
7540.0,2.75,8.159278271098932E-7,7540.0,0.9292763157894737,0.4148898536989447,0.9,0.6803069053708442,0.8768191268191268,0.3157894736842105,0.7637626158259734,0.5833333333333334,0.5957104557640751,7540.0,1899608.0,10.0,0.0,45175.1,52.60976884360704,176597.6,6133.358962265294,66.60000000000001,3.2903900478008166,33.8,1.645195023900409,33.8,1.645195023900409,11.1,0.348010216963685,0.0,0.0,0.0,0.0,1.0,0.0
9048.0,3.140625,1.0423079301189219E-6,9048.0,0.7995482778091474,0.3581465228560323,0.85,0.5091623036649213,0.8625678119349005,0.2987012987012987,0.6779582060809844,0.4782608695652174,0.3875451263537905,9048.0,2240168.0,10.0,0.0,54199.899999999994,44.38529536281627,209729.6,6696.045962937961,80.39999999999999,3.1979159880563888,40.699999999999996,1.5989579940281944,40.699999999999996,1.5989579940281944,12.0,0.2981423969999719,0.0,0.0,0.0,0.0,1.0,0.0
10556.0,3.515625,1.2956082678606943E-6,10556.0,0.8529810298102981,0.36329907554471086,0.83,0.3840579710144927,0.816114359974009,0.21951219512195122,0.6375767130633383,0.4444444444444444,0.30847013487475894,10556.0,2611000.0,10.0,0.0,63256.9,49.178687795968436,245768.8,6510.5087509007735,93.8,2.8315680775460392,47.4,1.4157840387730196,47.4,1.4157840387730196,12.7,0.42295258468165065,0.0,0.0,0.0,0.0,1.0,0.0
12064.0,3.875,1.5784269716176724E-6,12064.0,0.7972027972027972,0.27908565020462023,0.82,0.29022082018927436,0.8518518518518519,0.28205128205128205,0.47366546671567095,0.22727272727272727,0.2698318762609278,12064.0,3042024.0,10.0,0.0,72361.5,68.32036462301825,287748.0,5074.181409624392,109.8,2.0483055327649624,55.4,1.0241527663824812,55.4,1.0241527663824812,13.299999999999999,0.42295258468165065,0.0,0.0,0.0,0.0,1.0,0.0
13572.0,4.296875,1.956633285671059E-6,13572.0,0.8541666666666666,0.3997669898583786,0.81,0.4644870349492675,0.8757763975155279,0.3888888888888889,0.6621873326273038,0.4642857142857143,0.22747753145596183,13572.0,3465352.0,10.0,0.0,81415.8,73.68835276577546,329032.0,5794.931854646782,125.2,2.772083051505572,63.1,1.386041525752786,63.1,1.386041525752786,13.7,0.4725815626252608,0.0,0.0,0.0,0.0,1.0,0.0
15080.0,4.703125,2.3609647824842897E-6,15080.0,0.7900207900207901,0.3036920654124961,0.79,0.34863523573200983,0.8074534161490683,0.35135135135135137,0.572226203037599,0.34615384615384615,0.15030855916286578,15080.0,3847216.0,10.0,0.0,90496.9,60.810534540579894,366283.2,8196.68834591141,139.0,4.131182235954578,70.0,2.065591117977289,70.0,2.065591117977289,14.0,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
16588.0,5.109375,2.800089326531937E-6,16588.0,0.7872212176009644,0.32381784867017577,0.86,0.5286195286195287,0.8821978021978022,0.26582278481012656,0.7051861616651154,0.5238095238095238,0.43275036638983866,16588.0,4178272.0,10.0,0.0,99563.9,74.3986932382254,398639.2,10294.138030721928,150.0,4.302454080070013,75.5,2.1512270400350064,75.5,2.1512270400350064,14.4,0.4988876515698587,0.0,0.0,0.0,0.0,1.0,0.0
18096.0,5.59375,3.3663198054354224E-6,18096.0,0.8342857142857143,0.3175998492715958,0.77,0.3882978723404258,0.8934511434511434,0.42857142857142855,0.6294366339755545,0.43333333333333335,0.06617006955351144,18096.0,4518704.0,10.0,0.0,108600.59999999999,55.10922487811527,431844.0,11527.611883357858,162.4,4.844699279739775,81.7,2.4223496398698874,81.7,2.4223496398698874,14.6,0.47609522856952324,0.0,0.0,0.0,0.0,1.0,0.0
19604.0,6.046875,3.940775317864286E-6,19604.0,0.7395104895104895,0.2714053646910318,0.8,0.30362116991643473,0.7166968053044003,0.28205128205128205,0.5456973041765442,0.3181818181818182,0.1867247459033397,19604.0,4900504.0,10.0,0.0,117629.6,64.50050818059918,469061.60000000003,12035.66085264951,176.60000000000002,5.314968380798595,88.80000000000001,2.6574841903992974,88.80000000000001,2.6574841903992974,15.4,0.4268749491621899,0.0,0.0,0.0,0.0,1.0,0.0
21112.0,6.53125,4.599741854084035E-6,21112.0,0.8768191268191268,0.40287399721079664,0.81,0.4733924611973394,0.8834385624089364,0.35135135135135137,0.6982306119943378,0.5384615384615384,0.2290447818566214,21112.0,5258768.0,10.0,0.0,126670.5,81.32025168021364,503835.19999999995,11194.905520716908,190.20000000000002,4.706496691926077,95.60000000000001,2.3532483459630384,95.60000000000001,2.3532483459630384,15.899999999999999,0.37859388972001834,0.0,0.0,0.0,0.0,1.0,0.0
22620.0,7.015625,5.3079845707139204E-6,22620.0,0.8672276764843385,0.40107554677328316,0.86,0.6408414571575166,0.8728377746610566,0.4492753623188406,0.7714518228078219,0.6129032258064516,0.43470189218136374,22620.0,5652008.0,10.0,0.0,135684.3,93.58003704494553,542224.7999999999,9672.860503950678,203.4,4.150501977672901,102.2,2.0752509888364505,102.2,2.0752509888364505,15.899999999999999,0.37859388972001834,0.0,0.0,0.0,0.0,1.0,0.0
24128.0,7.53125,6.109683438100748E-6,24128.0,0.8251578436134046,0.35535386360459037,0.82,0.49008498583569404,0.7867063492063492,0.4084507042253521,0.6600366451922198,0.4482758620689655,0.2730097087378639,24128.0,6010072.0,10.0,0.0,144730.3,86.83253998358082,577196.7999999999,10675.366665365647,215.60000000000002,4.863012326623169,108.30000000000001,2.4315061633115844,108.30000000000001,2.4315061633115844,16.0,0.33333333333333326,0.0,0.0,0.0,0.0,1.0,0.0
25636.0,8.015625,6.8988752253870995E-6,25636.0,0.8119349005424955,0.28461866240115397,0.83,0.3919885550786836,0.8351214003387917,0.26582278481012656,0.6013847793242636,0.38095238095238093,0.3133574917283754,25636.0,6298008.0,10.0,0.0,153775.8,89.0911892388912,605291.2,11720.546802564764,226.0,4.553387017741115,113.5,2.2766935088705575,113.5,2.2766935088705575,16.1,0.31446603773522,0.0,0.0,0.0,0.0,1.0,0.0
