age,fnlwgt,education.num,capital.gain,capital.loss,hours.per.week,class
17,190000,3,548,79,19,>50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,>50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,>50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,>50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,>50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,>50K
17,190000,3,548,79,19,>50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,>50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,>50K
17,190000,3,548,79,19,>50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,>50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,>50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,>50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,>50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
17,190000,3,548,79,19,<=50K
