@relation anonymized

@attribute age numeric
@attribute fnlwgt numeric
@attribute education.num numeric
@attribute capital.gain numeric
@attribute capital.loss numeric
@attribute hours.per.week numeric
@attribute class {>50K,<=50K}

@data

25,200926,5,450,95,34,>50K
25,200926,5,450,95,34,>50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,>50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,>50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,>50K
25,200926,5,450,95,34,>50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,>50K
25,200926,5,450,95,34,>50K
25,200926,5,450,95,34,>50K
25,200926,5,450,95,34,>50K
25,200926,5,450,95,34,>50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,200926,5,450,95,34,<=50K
25,203574,5,516,93,34,<=50K
25,202655,5,781,112,34,>50K
25,200585,6,518,119,34,<=50K
25,206029,9,596,115,34,<=50K
25,205556,5,447,91,34,<=50K
25,204897,8,514,86,34,<=50K
25,295210,9,4096,92,34,<=50K
25,210815,7,672,121,34,<=50K
25,209876,20,907,105,34,>50K
25,208416,4,525,117,34,<=50K
25,234906,20,854,112,34,<=50K
25,296150,6,778,149,34,<=50K
25,234942,5,2065,285,34,>50K
25,211934,14,684,108,34,>50K
24,214691,20,732,128,33,<=50K
25,250022,7,477,139,34,<=50K
24,283637,4,2003,163,40,>50K
23,198637,4,470,419,34,<=50K
23,347470,4,431,122,32,<=50K
24,252716,4,559,264,32,<=50K
23,389862,7,1805,536,36,<=50K
23,375695,7,785,66,35,<=50K
48,197786,17,563,115,45,<=50K
28,297278,6,496,242,40,<=50K
98,247097,6,1067,524,34,<=50K
39,390465,13,622,377,60,<=50K
