learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1508.0,0.09375,3.2984341184298197E-11,1508.0,0.4256,7.097856890866394E-4,0.75,0.0,0.3670886075949367,3.0,0.0,1.0,0.018229166666666456,1508.0,1360.0
3016.0,0.140625,4.9476511776447295E-11,3016.0,0.4099264705882353,2.772676156799214E-4,0.68,0.0,0.4212248714352501,2.125,0.0,1.0,-0.2357490396927013,3016.0,1360.0
4524.0,0.171875,6.047129217121335E-11,4524.0,0.4166666666666667,2.2573760457189618E-4,0.72,0.0,0.4647887323943662,2.5714285714285716,0.0,1.0,-0.11311072056239051,4524.0,1360.0
6032.0,0.203125,7.146607256597942E-11,6032.0,0.33653333333333335,-7.520702378777666E-4,0.75,0.0,0.392,3.0,0.0,1.0,-6.635700066358511E-4,6032.0,1360.0
7540.0,0.21875,7.696346276336245E-11,7540.0,0.30153508771929827,2.9048205888143608E-5,0.76,0.0,0.33835758835758833,3.1666666666666665,0.0,1.0,0.02970509383378001,7540.0,1360.0
9048.0,0.25,8.795824315812851E-11,9048.0,0.3687182382834557,4.6041482684389123E-5,0.77,0.0,0.3670886075949367,3.347826086956522,0.0,1.0,0.06090252707581231,9048.0,1360.0
10556.0,0.265625,9.345563335551154E-11,10556.0,0.4002411091018686,8.87881997513329E-5,0.79,0.0,0.3534762833008447,3.761904761904762,0.0,1.0,0.14575722543352612,10556.0,1360.0
12064.0,0.28125,9.895302355289458E-11,12064.0,0.38286713286713286,4.0052136928425686E-5,0.78,0.0,0.30187721968543885,3.5454545454545454,0.0,1.0,0.107572293207801,12064.0,1360.0
13572.0,0.3125,1.0994780394766064E-10,13572.0,0.39035087719298245,3.419231937740186E-5,0.76,0.0,0.4476102941176471,3.1666666666666665,0.0,1.0,0.025058365758754773,13572.0,1360.0
15080.0,0.328125,1.1544519414504367E-10,15080.0,0.31444906444906445,1.4851734890491963E-5,0.74,0.0,0.37662337662337664,2.8461538461538463,0.0,1.0,-0.05199892675073782,15080.0,1360.0
16588.0,0.34375,1.209425843424267E-10,16588.0,0.35343035343035345,2.0526761628336665E-5,0.74,0.0,0.39624556062912225,2.8461538461538463,0.0,1.0,-0.05681940700808636,16588.0,1360.0
18096.0,0.359375,1.2643997453980975E-10,18096.0,0.44584749878581836,7.047617126915151E-5,0.71,0.0,0.3996881496881497,2.4482758620689653,0.0,1.0,-0.17770197486535041,18096.0,1360.0
19604.0,0.359375,1.2643997453980975E-10,19604.0,0.3897569444444444,9.04820603130907E-5,0.64,0.0,0.3938223938223938,1.7777777777777777,0.0,1.0,-0.45965667011375366,19604.0,1360.0
21112.0,0.375,1.3193736473719279E-10,21112.0,0.4215176715176715,4.831740037314347E-5,0.74,0.0,0.434191355026712,2.8461538461538463,0.0,1.0,-0.054991351143571045,21112.0,1360.0
22620.0,0.390625,1.3743475493457583E-10,22620.0,0.4394046775336641,4.3086159757177445E-5,0.83,0.0,0.35907859078590787,4.882352941176471,0.0,1.0,0.3107366911632909,22620.0,1360.0
24128.0,0.40625,1.4293214513195886E-10,24128.0,0.4165398274987316,1.9293977495782322E-5,0.73,0.0,0.33978174603174605,2.7037037037037037,0.0,1.0,-0.09048543689320392,24128.0,1360.0
25636.0,0.421875,1.484295353293419E-10,25636.0,0.3913721413721414,1.6442330674326655E-5,0.74,0.0,0.3557312252964427,2.8461538461538463,0.0,1.0,-0.05148446127149374,25636.0,1360.0
27144.0,0.4375,1.5392692552672494E-10,27144.0,0.4261333333333333,3.1865271814035534E-5,0.75,0.0,0.42598684210526316,3.0,0.0,1.0,-0.006974328535391153,27144.0,1360.0
28652.0,0.453125,1.5942431572410798E-10,28652.0,0.34155701754385964,9.062331218556707E-6,0.76,0.0,0.35395010395010396,3.1666666666666665,0.0,1.0,0.031208791208791307,28652.0,1360.0
30160.0,0.46875,1.6492170592149102E-10,30160.0,0.38637733574442434,3.070810400479518E-5,0.79,0.0,0.3508158508158508,3.761904761904762,0.0,1.0,0.15630744638337557,30160.0,1360.0
30162.0,0.46875,1.6492170592149102E-10,30162.0,0.3776223776223776,3.0272819811993923E-5,0.78,0.0,0.3508158508158508,3.5454545454545454,0.0,1.0,0.11619072988811935,30162.0,1360.0
